# NZZ FlexRead — every online article NZZ published on 2026-08-25 (Europe/Zurich). Generated from dragon (Livingdocs content type: 'article').
# Re-pack:  python3 hackathon/_tools/kenny_pack.py <this folder>
10020717   # 04:30 | Startseite (Deutschland) |  | 2173w | Früher verkaufte er Düfte, heute das Programm der AfD: der Triumphzug des Ulrich Siegmund
10020767   # 04:30 | Der andere Blick | Der andere Blick | 924w | Deutschlands Parteiensystem steckt in der Sackgasse. Wie es ist, kann es nicht bleiben
10020746   # 05:06 | Zürich |  | 774w | Die Zürcher FDP verliert ihr letztes Kreisschulpräsidium. Përparim Avdili sagt: «Mein Unve
10020168   # 05:07 | Zürich | Erklärt | 721w | Bald entscheidet Zürich, ob in der Stadt bis 40 Meter in die Höhe gebaut werden darf
10020794   # 05:28 | Schweiz |  | 833w | Bei Anti-Israel-Demonstrationen fallen alle Hemmungen. Nun droht in Basel die Eskalation
10018380   # 05:29 | Schweiz | Interview | 1713w | «Die Leute hielten uns für reich, und ich liess sie in diesem Glauben»: der Paléo-Gründer 
10020769   # 05:30 | Feuilleton |  | 587w | Lucerne Festival: Rihm-Getöse, Strauss-Gewitter und die Magie des Leisen
10019878   # 05:30 | Feuilleton | Interview | 1966w | Dominik Kaiser verkaufte seinen TV-Sender 3plus für über 100 Millionen Franken: «Ich musst
10020798   # 05:30 | International |  | 908w | Kanadier sind zäh. Das beweist Premierminister Mark Carney im Handelsstreit mit den USA
10020743   # 05:30 | Feuilleton |  | 1371w | Heiss ersehnte Spaghetti oder heissersehnte Spagetti? Vor dreissig Jahren wurde die grosse
10020748   # 05:30 | Feuilleton |  | 916w | Anne Teresa De Keersmaeker am Zürcher Theaterspektakel: Tanzen zu den Liedern Jacques Brel
10020779   # 05:30 | Wirtschaft |  | 1022w | Kanada bricht die Zollverhandlungen mit den USA ab – wäre das auch für die Schweiz eine Op
10020783   # 05:30 | Wirtschaft | Die neuesten Entwicklungen | 1095w | Umbruch bei VW: Konzern plant laut Medienbericht das Aus an vier deutschen Standorten
10020232   # 05:30 | Wirtschaft |  | 1120w | Vorbild Trump? Im Kampf gegen Chinas Subventionsflut wird in Brüssel der Ruf nach höheren 
10018958   # 05:30 | Pro |  | 1452w | Europas gefährliche Raketenlücke
10020734   # 05:30 | Feuilleton |  | 772w | Berliner Krimi: Vom Leichnam ihres Arbeitgebers lässt sich die Raumpflegerin nicht aus der
10020514   # 05:30 | Podcast | Podcast «NZZ Akzent» | 281w | Ukraine: In Odessa am Schwarzen Meer wird einer der wichtigsten Kämpfe dieses Krieges ausg
10020494   # 05:30 | Feuilleton |  | 1116w | Zutritt nur für Schwarze: Der Theatermacher Matthias Lilienthal setzt auf den Shitstorm. N
10018697   # 05:30 | Panorama |  | 1227w | Ein exzentrischer Graf eröffnet einen Briefkasten nur für Liebesbriefe – bis heute füllen 
10018914   # 05:30 | International |  | 1831w | Was passiert, wenn selbst Bücher verkaufen zum Verbrechen wird? Hongkong erlebt genau das
10020531   # 05:30 | Meinung | Kommentar | 616w | Die Gewerkschaften verlangen eine 13. Pensionskassenrente: Das ist eine Schnapsidee
10019389   # 05:30 | Mobilität |  | 1131w | Wie der Schock von 9/11 das Fliegen sicherer gemacht hat
10020472   # 05:30 | Mobilität |  | 1393w | Tesla drängt auf den Markt für Robotaxis: mit Cybercabs ohne Lenkrad und Pedale
