file,document_id,published,section,genre,authors,words,headline_en,url
2026-08-27_zuerich_suffering-fish-stranded-trucks-grounded-ships-state_ld10020811,10020811,2026-08-27,Zürich,,"Claudia Rey, Tobias Marti, Fabian Baumgartner",1840,"Suffering fish, stranded trucks, and grounded ships – how the state of emergency changes life on Lake Zurich",https://www.nzz.ch/zuerich/leidende-fische-stecken-gebliebene-lastwagen-und-aufgelaufene-schiffe-wie-der-ausnahmezustand-das-leben-am-zuerichsee-veraendert-ld.10020811
2026-08-27_zuerich_biggest-nuisance-urban-traffic-facing-axe-e_ld10021187,10021187,2026-08-27,Zürich,,Daniel Fritzsche,822,The biggest nuisance in urban traffic is facing the axe: The e-scooter,https://www.nzz.ch/zuerich/zuerich-verschaerft-regeln-fuer-e-trottinetts-neue-massnahmen-ld.10021187
2026-08-27_schweiz_switzerland-s-forgotten-passport_ld10014266,10014266,2026-08-27,Schweiz,,"Corina Gall, Münstertal",1977,Switzerland's forgotten passport,https://www.nzz.ch/schweiz/der-vergessene-pass-der-schweiz-ld.10014266
2026-08-27_meinung_good-news-younger-generation-social-networks-finally_ld10021209,10021209,2026-08-27,Meinung,Kommentar,Ruth Fulterer,617,Good news for the younger generation: Social networks are finally being forced to take responsibility,https://www.nzz.ch/meinung/meta-prozess-fuehrt-zu-einschraenkungen-von-instagram-endlich-muessen-soziale-netzwerke-verantwortung-uebernehmen-ld.10021209
2026-08-27_podcast-akzent_metal-avalanche-brenner-tyrolean-resistance-against-traffic_ld10019471,10019471,2026-08-27,Podcast,Podcast «NZZ Akzent»,Simon Schaffer,248,Metal avalanche on the Brenner: Tyrolean resistance against traffic,https://www.nzz.ch/podcast/akzent/blechlawine-am-brenner-der-tiroler-widerstand-gegen-den-verkehr-ld.10019471
2026-08-27_podcast-machtspiel_can-irregular-migration-europe-be-stopped-gerald_ld10020751,10020751,2026-08-27,Podcast,Podcast «NZZ Machtspiel»,,297,"How can irregular migration to Europe be stopped, Gerald Knaus?",https://www.nzz.ch/podcast/machtspiel/wie-kann-man-irregulaere-migration-nach-europa-beenden-gerald-knaus-ld.10020751
2026-08-27_wirtschaft_data-theft-liechtenstein-has-repercussions-switzerland-law_ld10020847,10020847,2026-08-27,Wirtschaft,,Michael Ferber,1136,"The data theft in Liechtenstein has repercussions in Switzerland. A law professor says: «If there's a scandal abroad, it inevitably spills over to us.»",https://www.nzz.ch/wirtschaft/hacker-in-liechtenstein-datendiebstahl-heizt-debatte-um-schweizer-stiftungen-an-ld.10020847
2026-08-27_wirtschaft_showdown-vw-power-center-europes-largest-industrial_ld10018376,10018376,2026-08-27,Wirtschaft,,"Jannik Belser, Berlin",1507,Showdown at VW: How the power center of Europe’s largest industrial group works,https://www.nzz.ch/wirtschaft/showdown-bei-vw-so-funktioniert-die-machtzentrale-des-groessten-industriekonzerns-in-europa-ld.10018376
2026-08-27_mobilitaet_no-fear-engine-damage-when-plug-hybrids_ld10020764,10020764,2026-08-27,Mobilität,Erklärt,Herbie Schmidt,428,No fear of engine damage: When plug-in hybrids pay off,https://www.nzz.ch/mobilitaet/keine-angst-vor-motorschaeden-wann-sich-der-plug-in-hybrid-lohnt-ld.10020764
2026-08-27_der-andere-blick_steinmeiers-succession-office-federal-president-should-not_ld10021076,10021076,2026-08-27,Der andere Blick,Der andere Blick,"Oliver Maksan, Berlin",690,Steinmeier’s Succession: The Office of the Federal President Should Not Be a Bulwark Against the Right,https://www.nzz.ch/der-andere-blick/nachfolge-steinmeiers-das-amt-des-bundespraesidenten-sollte-kein-bollwerk-gegen-rechts-sein-ld.10021076
2026-08-27_meinung_trump-speaks-loudly-wields-dry-stick_ld10020174,10020174,2026-08-27,Meinung,Kommentar,Patrick Zoll,595,Trump speaks loudly and wields a dry stick,https://www.nzz.ch/meinung/trump-spricht-laut-und-schwingt-ein-duerres-stoeckchen-ld.10020174
2026-08-27_wissenschaft_best-deter-wasps-what-helps-after-sting_ld10019306,10019306,2026-08-27,Wissenschaft,,Joana Kelén,50,How to best deter wasps? And what helps after a sting?,https://www.nzz.ch/wissenschaft/wie-lassen-sich-wespen-am-besten-vertreiben-und-was-hilft-nach-einem-stich-ld.10019306
2026-08-27_pro_spark-quickly-burned-out-september-11-2001_ld10019991,10019991,2026-08-27,Pro,,Markus Ackeret,1266,"A spark that quickly burned out: September 11, 2001 deepened the rift between Russia and the USA",https://www.nzz.ch/pro/25-jahre-nach-911-russlands-und-amerikas-gescheiterter-schulterschluss-ld.10019991
2026-08-27_international_cowshed-as-classroom-indias-cockroach-movement-denounces_ld10020556,10020556,2026-08-27,International,,"Ulrich von Schwerin, Mumbai",1038,A cowshed as a classroom: India’s Cockroach Movement denounces the state of schools,https://www.nzz.ch/international/ein-kuhstall-als-klassenzimmer-indiens-kakerlaken-bewegung-prangert-den-zustand-der-schulen-an-ld.10020556
2026-08-27_wissenschaft_does-chaos-teenager-s-room-reflect-chaos_ld10019557,10019557,2026-08-27,Wissenschaft,,Katja Nele Bode,1506,"Does the chaos in a teenager's room reflect the chaos in their mind? Experts have the same advice for desperate parents as for their offspring: «Chill out, dude.»",https://www.nzz.ch/wissenschaft/spiegelt-das-chaos-im-teenie-zimmer-das-chaos-im-jugendlichen-kopf-wider-experten-haben-denselben-rat-fuer-verzweifelte-eltern-wie-deren-nachwuchs-chill-mal-alter-ld.10019557
2026-08-27_international_between-fishing-quotas-financial-stability-iceland-votes_ld10020948,10020948,2026-08-27,International,,"Ingrid Meissl Årebo, Stockholm",955,Between fishing quotas and financial stability: Iceland votes on resuming EU accession negotiations,https://www.nzz.ch/international/island-stimmt-ueber-wiederaufnahme-der-eu-verhandlungen-ab-ld.10020948
2026-08-27_sport-leichtathletik_pole-vaulter-armand-duplantis-says-i-absolutely_ld10020806,10020806,2026-08-27,Sport,Interview,Eva Breitenstein,2010,Pole vaulter Armand Duplantis says: «I absolutely want to break a world record in Zurich.»,https://www.nzz.ch/sport/leichtathletik/weltklasse-zuerich-armand-duplantis-will-unbedingt-weltrekord-springen-ld.10020806
2026-08-27_international_naval-drones-off-romania-warning-signals-london_ld10020904,10020904,2026-08-27,International,,Jonas Roth,1038,"Naval drones off Romania, warning signals to London: Russia escalates threat to Europe",https://www.nzz.ch/international/russland-verstaerkt-die-drohkulisse-gegenueber-eu-und-nato-ld.10020904
2026-08-27_international_mail-voting-chaos-threatens-us-midterm-elections_ld10021167,10021167,2026-08-27,International,,"Niklaus Nuspliger, Washington",598,Mail-in voting chaos threatens US midterm elections,https://www.nzz.ch/international/in-den-usa-droht-bei-den-zwischenwahlen-ein-briefwahl-chaos-ld.10021167
2026-08-27_feuilleton_heidi-reichinnek-my-nightmare-renate-werwigk-once_ld10014790,10014790,2026-08-27,Feuilleton,,Lucien Scherrer,3041,"«Heidi Reichinnek? My nightmare» – Renate Werwigk once sat in a Stasi prison, today she fights against the historical revisionists of the Left and the AfD",https://www.nzz.ch/feuilleton/heidi-reichinnek-mein-albtraum-einst-sass-renate-werwigk-im-stasi-gefaengnis-heute-kaempft-sie-gegen-die-geschichtsklitterer-der-linken-und-der-afd-ld.10014790
2026-08-27_meinung_secretly-filmed-while-bathing-smart-glasses-expose_ld10020368,10020368,2026-08-27,Meinung,Kommentar,Samuel Meier,590,Secretly filmed while bathing: Smart glasses expose the rule of law,https://www.nzz.ch/meinung/heimlich-gefilmt-beim-baden-smart-glasses-fuehren-den-rechtsstaat-vor-ld.10020368
2026-08-27_meinung_fortune-hunter-distress-trump-could-be-undone_ld10012906,10012906,2026-08-27,Meinung,Kommentar,Christian Weisflog,1494,"A fortune hunter in distress: Trump could be undone by Iran, but not Trumpism",https://www.nzz.ch/meinung/ein-gluecksritter-in-noeten-an-iran-koennte-trump-zugrunde-gehen-nicht-aber-der-trumpismus-ld.10012906
2026-08-27_meinung_where-political-ethos-wanes-germany-constitution-increasingly_ld10020292,10020292,2026-08-27,Meinung,Gastkommentar,Hans Georg Maassen and Jobst Landgrebe,1078,"Where political ethos wanes: In Germany, the constitution increasingly misused to maintain power",https://www.nzz.ch/meinung/wo-das-politische-ethos-schwindet-in-deutschland-wird-die-verfassung-zunehmend-zum-machterhalt-missbraucht-ld.10020292
2026-09-03_international_war-ukraine-norway-seizes-russian-ship-arctic_ld10021245,10021245,2026-09-03,International,Live-Ticker,,49,War in Ukraine: Norway seizes Russian ship in Arctic: Zelensky warns against flights over Russia,https://www.nzz.ch/international/krieg-in-der-ukraine-cia-chef-ratcliffe-warnte-russland-laut-berichten-vor-angriff-auf-nato-ld.10021245
2026-09-02_international_iran-war-two-oil-tankers-hit-naval_ld10021246,10021246,2026-09-02,International,Live-Ticker,,75,Iran War: Two oil tankers hit naval mines in Strait of Hormuz +++ US ends wave of attacks on targets in Iran,https://www.nzz.ch/international/iran-krieg-irans-revolutionsgarden-wollen-volle-kontrolle-ueber-strasse-von-hormuz-haben-durch-die-strasse-von-hormuz-fahren-wieder-mehr-schiffe-ld.10021246
2026-09-03_panorama_flash-flood-nepal-death-toll-rises-over_ld10021247,10021247,2026-09-03,Panorama,Die neuesten Entwicklungen,NZZ Newsroom,832,Flash flood in Nepal: Death toll rises to over 1200 +++ 600 hydroelectric power plant workers still missing,https://www.nzz.ch/panorama/sturzflut-von-nepal-zahl-der-todesopfer-steigt-auf-ueber-1000-noch-immer-600-arbeiter-von-wasserkraftwerken-vermisst-ld.10021247
2026-08-27_international_market-was-gone-moments-no-escape-nepals_ld10021244,10021244,2026-08-27,International,,"Ulrich von Schwerin, Mumbai",1266,«The market was gone in moments»: No escape from Nepal’s flood disaster,https://www.nzz.ch/international/sturzflut-in-nepal-ueber-1400-vermisste-und-massive-zerstoerung-ld.10021244
