# NZZ FlexRead — every online article NZZ published on 2026-08-27 (Europe/Zurich). Generated from dragon (Livingdocs content type: 'article').
# Re-pack:  python3 hackathon/_tools/kenny_pack.py <this folder>
10020811   # 05:00 | Zürich |  | 1840w | Leidende Fische, steckengebliebene Lastwagen und aufgelaufene Schiffe – wie der Ausnahmezu
10021187   # 05:00 | Zürich |  | 822w | Dem grössten Ärgernis im Stadtverkehr geht es an den Kragen: dem E-Trottinett
10014266   # 05:28 | Schweiz |  | 1977w | Der vergessene Pass der Schweiz
10021209   # 05:30 | Meinung | Kommentar | 617w | Eine gute Nachricht für die heranwachsende Generation: Endlich müssen soziale Netzwerke Ve
10019471   # 05:30 | Podcast | Podcast «NZZ Akzent» | 248w | Blechlawine am Brenner: der Tiroler Widerstand gegen den Verkehr
10020751   # 05:30 | Podcast | Podcast «NZZ Machtspiel» | 297w | Wie kann man irreguläre Migration nach Europa beenden, Gerald Knaus?
10020847   # 05:30 | Wirtschaft |  | 1136w | Der Datendiebstahl in Liechtenstein reicht bis in die Schweiz. Ein Jus-Professor sagt: «Gi
10018376   # 05:30 | Wirtschaft |  | 1507w | Showdown bei VW: So funktioniert die Machtzentrale des grössten Industriekonzerns in Europ
10020764   # 05:30 | Mobilität | Erklärt | 428w | Keine Angst vor Motorschäden: Wann sich der Plug-in-Hybrid lohnt
10021076   # 05:30 | Der andere Blick | Der andere Blick | 690w | Steinmeiers Nachfolge: Das Amt des Bundespräsidenten sollte kein Bollwerk gegen rechts sei
10020174   # 05:30 | Meinung | Kommentar | 595w | Trump spricht laut und schwingt ein dürres Stöckchen
10019306   # 05:30 | Wissenschaft |  | 50w | Wie lassen sich Wespen am besten vertreiben? Und was hilft nach einem Stich?
10019991   # 05:30 | Pro |  | 1266w | Ein Funke, der schnell verglüht ist: Der 11. September 2001 hat die Kluft zwischen Russlan
10020556   # 05:30 | International |  | 1038w | Ein Kuhstall als Klassenzimmer: Indiens Kakerlaken-Bewegung prangert den Zustand der Schul
10019557   # 05:30 | Wissenschaft |  | 1506w | Spiegelt das Chaos im Teenie-Zimmer das Chaos im jugendlichen Kopf wider? Experten haben d
10020948   # 05:30 | International |  | 955w | Zwischen Fischfangquoten und Finanzstabilität: Island stimmt über die Wiederaufnahme der E
10020806   # 05:30 | Sport | Interview | 2010w | Der Stabhochspringer Armand Duplantis sagt: «Ich will in Zürich unbedingt Weltrekord sprin
10020904   # 05:30 | International |  | 1038w | Marinedrohnen vor Rumänien, Warnsignale an London: Russland verstärkt die Drohkulisse gege
10021167   # 05:30 | International |  | 598w | In den USA droht bei den Zwischenwahlen ein Briefwahl-Chaos
10014790   # 05:30 | Feuilleton |  | 3041w | «Heidi Reichinnek? Mein Albtraum» – einst sass Renate Werwigk im Stasi-Gefängnis, heute kä
10020368   # 05:30 | Meinung | Kommentar | 590w | Heimlich gefilmt beim Baden: Smart Glasses führen den Rechtsstaat vor
10012906   # 05:35 | Meinung | Kommentar | 1494w | Ein Glücksritter in Nöten: An Iran könnte Trump zugrunde gehen, nicht aber der Trumpismus
10020292   # 05:40 | Meinung | Gastkommentar | 1078w | Wo das politische Ethos schwindet – in Deutschland wird die Verfassung zunehmend zum Macht
10021245   # 06:52 | International | Live-Ticker | 49w | Krieg in der Ukraine: Norwegen beschlagnahmt russisches Schiff in Arktis +++ Selenski warn
10021246   # 06:52 | International | Live-Ticker | 75w | Iran-Krieg: Zwei Öltanker fahren in Strasse von Hormuz auf Seeminen +++ USA beenden Angrif
10021247   # 10:40 | Panorama | Die neuesten Entwicklungen | 832w | Sturzflut von Nepal: Zahl der Todesopfer steigt auf über 1200 +++ Noch immer 600 Arbeiter 
10021244   # 11:00 | International |  | 1266w | «Binnen Augenblicken war der Markt weg»: kein Entkommen bei der Flutkatastrophe in Nepal
10021250   # 11:11 | Feuilleton |  | 952w | Die Kunst war für sie lebensrettend. Jetzt ist Yayoi Kusama, die Königin der Punkte, im Al
10020766   # 12:54 | Gesellschaft |  | 740w | Fleisch-, aber nicht wunschlos genährt
10020960   # 13:57 | Meinung | Gastkommentar | 950w | Die Gefahr loser Bande: China, Russland und Co. helfen einander. Ein festes Bündnis brauch
10020248   # 14:00 | Wirtschaft |  | 1000w | Diese drei Gemeinden im Raum Zürich sind für Familien am attraktivsten
10021159   # 14:09 | Zürich |  | 1182w | FCZ-Ultras überfallen GC-Fans in einer Turnhalle. In der anonymen Masse fühlen sie sich si
10021325   # 14:57 | International |  | 887w | Er befahl den Völkermord in Bosnien-Herzegowina: Jetzt ist der Kriegsverbrecher Ratko Mlad
