file,document_id,published,section,genre,authors,words,headline_en,url
2026-09-02_misc_morning-briefing_ld10021984,10021984,2026-09-02,,,,998,Morning briefing,https://www.nzz.ch/ld.10021984
2026-09-02_misc_morning-briefing_ld10021986,10021986,2026-09-02,,,,1089,Morning briefing,https://www.nzz.ch/ld.10021986
2026-09-02_briefing_morning-briefing_ld10022015,10022015,2026-09-02,Briefing,,,1020,Morning briefing,https://www.nzz.ch/briefing/briefing-am-morgen-ld.10022015
2026-09-02_briefing_morning-briefing_ld10022016,10022016,2026-09-02,Briefing,,,1118,Morning briefing,https://www.nzz.ch/briefing/briefing-am-morgen-ld.10022016
2026-09-02_misc_germany-reacts-prudently-russias-aggression_ld10021906,10021906,2026-09-02,,,,780,Germany reacts prudently to Russia’s aggression,https://www.nzz.ch/ld.10021906
2026-09-02_misc_wine-cellar-03-09-2026_ld10021992,10021992,2026-09-02,,,,422,Wine cellar 03.09.2026,https://www.nzz.ch/ld.10021992
2026-09-02_misc_russia-s-military-power-overestimated_ld10021919,10021919,2026-09-02,,,,2600,Is Russia's military power overestimated?,https://www.nzz.ch/ld.10021919
2026-09-02_briefing_evening-briefing_ld10022059,10022059,2026-09-02,Briefing,,,931,Evening briefing,https://www.nzz.ch/briefing/ld.10022059
2026-09-02_misc_good-morning-switzerland-03-09-2026-muni_ld10022034,10022034,2026-09-02,,,,960,Good morning Switzerland 03.09.2026 Muni Mx,https://www.nzz.ch/ld.10022034
2026-09-02_briefing_evening-briefing_ld10022156,10022156,2026-09-02,Briefing,,Marcel Urech,982,Evening briefing,https://www.nzz.ch/briefing/briefing-am-abend-ld.10022156
2026-09-02_misc_evening-briefing_ld10022058,10022058,2026-09-02,,,,1036,Evening briefing,https://www.nzz.ch/ld.10022058
2026-09-02_briefing_evening-briefing_ld10022159,10022159,2026-09-02,Briefing,,,1056,Evening briefing,https://www.nzz.ch/briefing/briefing-am-abend-ld.10022159
2026-09-02_misc_copy-copy-template-dab-evening_ld10021915,10021915,2026-09-02,,,,624,Copy of copy of template DAB in the evening,https://www.nzz.ch/ld.10021915
2026-09-02_misc_nzz-newsletter-real-estate_ld10021829,10021829,2026-09-02,,,,1541,NZZ Newsletter Real Estate,https://www.nzz.ch/ld.10021829
