snapshot_utc,position,document_id,in_this_day_set,section,headline,file
2026-09-02 05:54,1,148422,no,,,
2026-09-02 05:54,2,10020787,yes,Wirtschaft,"«I understand the concerns about Swiss, but sometimes they seem to me like phantom pains»",2026-09-02_wirtschaft_i-understand-concerns-about-swiss-but-sometimes_ld10020787
2026-09-02 05:54,3,10021760,yes,International,"Trapped in dystopia: More than a month after the onslaught on Ceuta, the violence is escalating",2026-09-02_international_trapped-dystopia-more-than-month-after-onslaught_ld10021760
2026-09-02 05:54,4,10021904,yes,Der andere Blick,Germany reacts prudently to Russia’s aggression,2026-09-02_der-andere-blick_germany-reacts-prudently-russias-aggression_ld10021904
2026-09-02 05:54,5,10021936,no,Startseite (Deutschland),Anschlag auf den Leipziger Flughafen: Kreml will diplomatische Beziehungen zu Berlin erhalten +++ Goethe-Institut in Russland wird laut russischem Aussenminister geschlossen,
2026-09-02 05:54,6,10021870,yes,Feuilleton,"«Ragebait,» «Crashout,» «Peak»: Emotions run high in the selection for Youth Word 2026",2026-09-02_feuilleton-zeitgeschehen_ragebait-crashout-peak-emotions-run-high-selection_ld10021870
2026-09-02 05:54,7,10020200,yes,Pro,«I believe that Putin is increasingly detached from reality»,2026-09-02_pro_i-believe-putin-increasingly-detached-reality_ld10020200
2026-09-02 05:54,8,10021245,no,International,Krieg in der Ukraine: Norwegen beschlagnahmt russisches Schiff in Arktis +++ Selenski warnt vor Flügen über Russland,
2026-09-02 05:54,9,10015567,yes,International,"After the dolphin show, drones arrive: How Kharkiv tries to forget the war for a few hours",2026-09-02_international_after-dolphin-show-drones-arrive-kharkiv-tries_ld10015567
2026-09-02 05:54,10,10021770,no,International,"Hohe Kosten, begrenzter Erfolg: Amerika zieht nach sechs Monaten Iran-Krieg Bilanz",
2026-09-02 05:54,11,10021246,no,International,Iran-Krieg: Zwei Öltanker fahren in Strasse von Hormuz auf Seeminen +++ USA beenden Angriffswelle gegen Ziele in Iran,
