# NZZ FlexRead — every online article NZZ published on 2026-09-02 (Europe/Zurich). Generated from dragon (Livingdocs content type: 'article').
# Re-pack:  python3 hackathon/_tools/kenny_pack.py <this folder>
10020924   # 04:30 | Startseite (Deutschland) | Erklärt | 1089w | Die fünf wichtigsten Entscheidungen in Sachsen-Anhalt: was Sie vor dem Wahlabend wissen mü
10021326   # 05:00 | Zürich | Interview | 2030w | «Wenn ein junger Koch von Gault-Millau hochgejubelt wird, mit 15 Punkten beginnt und 300 F
10019521   # 05:02 | Zürich |  | 547w | Mieter betreibt lukratives Geschäft mit Untermietern – nun wurde er verurteilt
10021912   # 05:05 | Zürich |  | 464w | Die Stadt Zürich macht Ernst in Sachen Business-Apartments und nimmt Anzeigen entgegen
10020938   # 05:15 | Meinung | Gastkommentar | 757w | Die Neutralität war für die schweizerische Friedenspolitik gegen innen und aussen essenzie
10021486   # 05:20 | Meinung | Gastkommentar | 548w | Kompass-Initiative – wer hat hier wirklich zu lange gewartet?
10019058   # 05:25 | Meinung | Gastkommentar | 784w | Solarstrom: missverstanden und kaputtgefördert?
10021887   # 05:30 | International |  | 903w | Iranische Videos rufen zur Ermordung von Barron Trump auf – was steckt dahinter?
10013927   # 05:30 | Wissenschaft | Erklärt | 723w | Pestizide im Brot: Das ist normal – ist es auch schlimm?
10021802   # 05:30 | Feuilleton |  | 559w | Die Autoritäten in der Musik: Das Werk, der Dirigent und ich
10021691   # 05:30 | Feuilleton |  | 1437w | Das Römische Reich wird bedrängt, bei den Parthern herrscht eine Sklavin, und in Palästina
10021866   # 05:30 | Feuilleton |  | 1014w | Lucerne Festival: Weg mit der Konvention! Oder lieber doch nicht?
10020787   # 05:30 | Wirtschaft | Interview | 1691w | «Ich verstehe die Sorgen um die Swiss. Aber manchmal kommen sie mir vor wie Phantomschmerz
10021854   # 05:30 | International |  | 1037w | Alles dreht sich um Xi: SCO-Gipfel in Bischkek zeigt gewachsenen Einfluss von Chinas Präsi
10021430   # 05:30 | Wirtschaft |  | 1012w | Europas neuer Protektionismus bedroht Schweizer Autozulieferer – ist China der lachende Dr
10015567   # 05:30 | International |  | 1591w | Nach der Delfin-Show fliegen die Drohnen an: Wie Charkiw versucht, den Kriegsalltag für ei
10021882   # 05:30 | Feuilleton |  | 909w | Wenn der Union Jack zum «Sicherheitsrisiko» wird – in Grossbritannien tobt ein Kulturkampf
10021289   # 05:30 | Meinung | Gastkommentar | 1264w | Die AfD vor dem Höhenflug – eine Analyse vor den Landtagswahlen in Sachsen-Anhalt, Mecklen
10021870   # 05:30 | Feuilleton |  | 756w | «Ragebait», «Crashout», «Peak»: Bei der Auswahl für das Jugendwort 2026 geht es emotional 
10021904   # 05:30 | Der andere Blick | Der andere Blick | 602w | Deutschland reagiert klug auf Russlands Aggression
10021963   # 05:30 | Podcast | Podcast «NZZ Geopolitik» | 235w | Chinas stiller Krieg um Taiwan hat längst begonnen
