file,document_id,published,section,genre,authors,words,headline_en,url
2026-01-04_international_trump-s-coup-venezuela-protocol-maduro-s_ld1918656,1918656,2026-01-04,International,,"Markus Bernath, Karin A. Wenger",1530,Trump's coup in Venezuela: The protocol of Maduro's ouster,https://www.nzz.ch/international/trumps-coup-das-protokoll-des-regimewechsels-in-venezuela-ld.1918656
2026-02-06_international_forgotten-metropolis-does-kolkata-still-stand-chance_ld1913583,1913583,2026-02-06,International,,"Ulrich von Schwerin, Kolkata",1900,The forgotten metropolis: Does Kolkata still stand a chance against India's booming cities?,https://www.nzz.ch/international/vergessene-metropole-hat-kolkata-noch-eine-chance-gegen-indiens-boomstaedte-ld.1913583
2026-01-07_international_who-helped-nazi-war-criminals-like-adolf_ld1908848,1908848,2026-01-07,International,,"Thomas Milz, Buenos Aires",1905,Who helped Nazi war criminals like Adolf Eichmann escape to Argentina? The answer might lie in the archives there.,https://www.nzz.ch/international/wer-half-ns-kriegsverbrechern-wie-adolf-eichmann-bei-ihrer-flucht-nach-argentinien-die-antwort-koennte-in-den-dortigen-archiven-liegen-ld.1908848
2025-08-08_international_emma-larsson-sells-sex-even-though-nobody_ld1892231,1892231,2025-08-08,International,,"Linda Koponen, Gothenburg and Stockholm (text), Nora Lorek (images)",1839,Emma Larsson sells sex – even though nobody is allowed to buy it in Sweden,https://www.nzz.ch/international/schwedisches-modell-emma-larsson-schafft-trotz-sexkaufverbot-an-ld.1892231
2026-01-15_wirtschaft_china-s-shadow-refineries-circumvent-us-sanctions_ld1920158,1920158,2026-01-15,Wirtschaft,,"Sabine Gusbeth, Weifang, Dongying (Shandong)",1735,"How China's shadow refineries circumvent US sanctions against Venezuela, Iran and Russia: A report",https://www.nzz.ch/wirtschaft/wie-chinas-schattenraffinerien-die-us-sanktionen-gegen-venezuela-iran-und-russland-umgehen-eine-reportage-ld.1920158
2026-04-08_wirtschaft_germany-could-plunge-into-gas-crisis-next_ld1932267,1932267,2026-04-08,Wirtschaft,,"Malte Fischer, Düsseldorf",1654,Germany could plunge into a gas crisis next winter,https://www.nzz.ch/wirtschaft/iran-krieg-droht-deutschland-eine-neue-gaskrise-ld.1932267
2026-06-11_wirtschaft_spacex-will-have-biggest-ipo-history-these_ld10010689,10010689,2026-06-11,Wirtschaft,Erklärt,"Michael Ferber, Malin Hunziker",1649,SpaceX will have the biggest IPO in history: These are the ten most important questions and answers,https://www.nzz.ch/wirtschaft/boersengang-von-elon-musks-spacex-das-groesste-ipo-der-geschichte-erklaert-ld.10010689
2026-03-18_wirtschaft_europe-us-calm-prevails-despite-enormous-energy_ld1929529,1929529,2026-03-18,Wirtschaft,,"Ulrich von Schwerin (Mumbai), Martin Kölling (Tokyo), Volker Pabst, Birte Mensing (Nairobi), Michael Rasch, Anja Lemcke",2043,"In Europe and the US, calm prevails despite enormous energy prices; in Asia, Eastern Europe and Africa, however, alarm bells are already ringing",https://www.nzz.ch/wirtschaft/die-oel-und-gas-knappheit-trifft-viele-laender-direkt-die-sorgen-ueber-die-lebensmittelsicherheit-steigen-ld.1929529
2025-03-18_wirtschaft_premium-shock-german-healthcare-system-what-s_ld1873221,1873221,2025-03-18,Wirtschaft,,"René Höltschi, Berlin, Michael Rasch, Frankfurt",1613,Premium shock in the German healthcare system: what's wrong with the dual health insurance system,https://www.nzz.ch/wirtschaft/praemienschock-bei-deutschen-krankenkassen-woran-es-krankt-ld.1873221
2025-05-26_wirtschaft_opaque-bloated-complicated-us-healthcare-system-became_ld1885585,1885585,2025-05-26,Wirtschaft,,"André Müller, New York, Matthias Benz",1565,"Opaque, bloated, complicated: why the US healthcare system became as bad as it is today",https://www.nzz.ch/wirtschaft/intransparent-aufgeblaeht-kompliziert-warum-das-us-gesundheitssystem-so-schlecht-wurde-wie-es-heute-ist-ld.1885585
2026-01-03_finanzen_german-retirement-savings-plan-offers-attractive-subsidies_ld1918450,1918450,2026-01-03,Finanzen,,"Arne Gottschalck, The Market NZZ",1747,The German retirement savings plan offers attractive subsidies and tax advantages starting in 2027.,https://www.nzz.ch/finanzen/das-deutsche-altersvorsorgedepot-lockt-mit-zulagen-und-steuervorteilen-ab-2027-ld.1918450
2025-02-24_finanzen_tax-expert-explains-tax-office-takes-close_ld1871544,1871544,2025-02-24,Finanzen,,Michael Ferber,1941,"A tax expert explains: The tax office takes a close look at tax returns regarding home renovations, side accounts, cryptocurrencies, and cigar collections.",https://www.nzz.ch/finanzen/steuererklaerung-2024-steuerberater-gibt-tipps-zu-maximalen-abzuegen-und-fehlern-ld.1871544
2025-07-15_pro_china-russia-could-launch-two-front-war_ld1893137,1893137,2025-07-15,Pro,,"Lukas Mäder, Georg Häsler",2049,China and Russia could launch a two-front war against the West. Europe must be prepared for all scenarios.,https://www.nzz.ch/pro/wenn-china-taiwan-angreift-wuerde-russland-gleichzeitig-die-nato-herausfordern-europa-muss-mit-allen-szenarien-rechnen-ld.1893137
2025-06-17_pro_trump-s-fight-or-end-globalization-as_ld1882318,1882318,2025-06-17,Pro,,Marc Tribelhorn,1773,Trump's fight – or: the end of globalization as we knew it,https://www.nzz.ch/pro/trumps-kampf-oder-das-ende-der-globalisierung-wie-wir-sie-kannten-ld.1882318
